1,(MD) Nos.91 & 205 of 2012 in Crl.A.,4
2,"(MD) No.91 of 2012 A.Balasubramanian ... Appellant vs. State through The Inspector of Police, Vigilance & Anti Corruption Wing, Trichirapalli.",8
3,"Crime No.7 of 2006 ... Respondent PRAYER:- Criminal Appeal filed under Section 374(2) of the Code of Criminal Procedure, to set aside the order of conviction and sentence passed by the learned Judge of the Special Court for trial of cases under Section Prevention of Corruption Act, Trichy in S.C.No.118 of 2011 dated 18.04.2012.",15
4,For Appellant : Mr.N.Ananthapadmanabhan For Respondent : Mr.M.Chandrasekaran Additional Public Prosecutor in Crl.A.,1
5,"(MD) No.205 of 2012 State represented by The Inspector of Police, Vigilance and Anti Corruption Wing, Tiruchirappalli Crime No.7 of 2006 http://www.judis.nic.in ... Appellant vs. S.Karuppaiah Indian Kanoon - http://indiankanoon.org/doc/9022838/ ... Respondent 1 A.Balasubramanian vs State Through on 28 January, 2019 PRAYER:- Criminal Appeal filed under Section 374(2) of the Code of Criminal Procedure, to set aside the acquittal of A2 dated 18.04.2012 in Special Case No.118 of 2011 on the file of the Special Court for trial of cases under Prevention of Corruption Act, Tiruchirappalli and convict the respondent / accused (A2) as charged.",24
6,For Appellant : Mr.M.Chandrasekaran Additional Public Prosecutor For Respondent : Mr.T.Senthil Kumar COMMON JUDGMENT Crl.A.,1
7,"(MD) No.91 of 2012 has been filed to set aside the order of conviction and sentence passed by the learned Judge of the Special Court for trial of cases under Section Prevention of Corruption Act, Trichy in S.C.No.118 of 2011 dated 18.04.2012.",14
8,2.Crl.A.,0
9,"(MD) No.205 of 2012 has been filed to set aside the acquittal of A2 dated 18.04.2012 in Special Case No.118 of 2011 on the file of the Special Court for trial of cases under Prevention of Corruption Act, Tiruchirappalli and convict the respondent / accused (A2) as charged.",10
10,"http://www.judis.nic.in 3.The case of the prosecution is that the complainant M.Kandasamy, a resident of Thelungupatti Village, Kulithalai Taluk was taken to Thogaimalai Police Station by A1 on 22.07.2006 at about 03.00 p.m., and was detained there for some time and enquired from 06.00 p.m., to 10.00 p.m., and instructed him to come to the police station on the next day.",1
11,"Accordingly, on 23.07.2006 at about 12.00 noon, the defacto complainant went to the said police station.",0
12,"He was interrogated by the first accused from 12.00 noon to 02.00 p.m., and was instructed to come to the police station once again at 06.00 p.m., on the same day.",0
13,"4.When the defacto complainant came to the police station at 06.00 p.m., on the same day, he was interrogated and sent to his home at 09.00 p.m., by the first accused and at the time the appellant / A1 demanded the defacto complainant to pay a sum of Rs.3,000/- as bribe for not registering any case against the defacto complainant.",2
14,He replied that he has no money.,0
15,"Then he was threatened by the first accused by saying that he should pay a sum of Rs.3,000/- as bribe before the next night, otherwise the hands and legs of the defacto complainant would be broken and his entire family would be placed inside.",0
16,"http://www.judis.nic.in 5.On 24.07.2006, the defacto complainant met the first accused in the said police station along with witness Palaniyappan at about 08.15 p.m.",0
17,"He was enquired and was asked by him as to why the other four persons did not come with him and for which he told that he brought a sum of Rs.3,000/as demanded by him.",0
