1,Corruption is the malignant manifestation of a malady menacing the morality of men.,0
2,There is a common perception that corruption in India has spread to all corners of public life and is currently choking the constitutional aspirations enshrined in the Preamble.,0
3,"In this context, this case revolves around requiring this Court to facilitate making India corruption free.",2
4,2\.,0
5,"This Appeal is from the impugned judgment and final order dated 02.02.2018, passed by the High Court of Gujarat at Ahmedabad in Criminal Revision Application (against Order passed by Subordinate Court) No.",5
6,1188 of 2017.,2
7,Signature Not Verified 3\.,0
8,"Digitally signed by GEETA AHUJA Date: 2020.04.27 20:32:20 IST Reason: The respondent herein is allegedly a Trustee of a trust called the Sumandeep Charitable Trust, which established and sponsors 1 2 ‘Sumandeep Vidyapeeth’, a deemed University, which is the institution concerned herein.",0
9,4\.,0
10,"Brief facts necessary for the disposal of the case are that an FIR, being I­ER No.",2
11,"3 of 2017, dated 28.02.2017 was filed by one Dr. Jasminaben, wife of Dilipbhai Devda, before the Vadodara City A.C.B.",2
12,Police Station against four accused persons including the present respondent.,0
13,"Broadly, the allegations were that the complainant’s elder daughter was admitted to the MBBS Course in the above­mentioned Deemed University in the year 2012.",3
14,Her daughter’s course fee was completely paid up as per the annual fee slab.,0
15,"In the year 2017, her elder daughter while filling up her final examination form, was asked to meet the respondent herein.",1
16,"On meeting, the respondent, in conspiracy with others, had communicated that the complainant’s husband had to further pay Rupees Twenty Lakhs for allowing the complainant’s daughter to take the examination.",0
17,"Further, it is alleged that the accused­respondent had communicated that they can deposit a cheque and the same would be returned on payment of cash, considering that demonetization had recently taken place.",0
18,"In lieu of the same, cheques were deposited with the accused­ 2 3 respondent herein.",0
19,"Thereafter, the complainant, who was unwilling to pay the amount, filed the FIR.",1
20,5\.,0
21,"After following the necessary procedure, phenolphthalein powder was applied to the currency notes and were delivered to accused Vinod alias Bharatbhai Savant (the alleged companion/agent of respondent through whom the demand was facilitated).",0
22,"Thereafter, accused Vinod confirmed the receipt of money to the respondent over the telephone.",0
23,The aforesaid incriminating conversation stood intercepted in an audio video camera set up by the complainant.,0
24,"Further, separate raids were conducted whereupon several undated cheques drawn in the name of the institution worth more than Rs.",0
25,100 crores and certain fixed deposits were recovered.,0
26,6\.,0
27,"The chargesheet came to be filed on 25.04.2017 against several accused persons, including the present respondent for various offences under Sections 7, 8, 10 and 13 (1)(b) and 13(2) of the Prevention of Corruption Act, 1988 [hereinafter referred to as the ‘PC Act’] read with Section 109 of Indian Penal Code, 1860 [hereinafter referred to as the ‘IPC’],.",7
28,3 4 7\.,0
29,The respondent herein filed a discharge application under Section 227 of CrPC before the District and Sessions Court in Special ACB Case No.,7
30,2 of 2017.,2
31,"The District and Sessions Court by an order dated 29.11.2017, rejected the application.",2
32,8\.,0
33,"Aggrieved by the rejection of the aforesaid application, the respondent herein filed a criminal revision application, being Criminal Revision Application No.",3
34,"1188 of 2017, before the High Court of Gujarat, at Ahmedabad.",1
35,"The High Court, by the impugned judgment and order dated 02.02.2018, allowed the revision and discharged the accused­respondent herein.",2
36,9\.,0
37,"Aggrieved by the impugned order, the State of Gujarat is in appeal before this Court.",4
38,10\.,0
39,"The senior counsel on behalf of the appellant submitted that the PC Act is a comprehensive statute which was passed to prevent corruption and therefore, should be construed liberally as the legislature intended to include the abovementioned acts, which harm the public at large, within the ambit of the PC Act.",4
40,The PC Act is a social legislation intended to curb illegal activities of public servants and is designed to be construed so as to advance its objectives.,1
41,"The Courts, while keeping the public interest in 4 5 mind, must ensure that technicalities should not defeat the 11\.",0
42,object sought to be achieved.,0
43,The counsel further argued that public function need not be the exclusive domain of the State; private institutions such as universities may also perform a public function.,1
44,"The counsel placed reliance upon Modern Dental College & Research Centre v. State of Madhya Pradesh., (2016) 7 SCC 353 and Janet Jeyapaul v. SRM University., (2015) 16 SCC 530 to state that imparting education to the public is a welfare activity and hence can be called as an activity done for public good.",4
45,"Considering the UGC guidelines, the counsel submitted that Deemed Universities effectively discharge the public function of 12\.",0
46,imparting education to the public.,0
47,"Moreover, the counsel placed reliance upon the case of K. Veeraswami v. Union Of India, (1991) 3 SCC 655 to submit that there is no requirement of having a master­servant relationship between the competent authority and the public servant.",2
48,"The PC Act does not define public servant, rather, it provides categories of the same.",1
49,The counsel further stated that the lack of any authority to grant the sanction cannot result in non­prosecution.,3
50,"In such situations, there is no necessity for 5 6 obtaining sanction.",0
51,"In any case, the sanction was obtained from 13\.",0
52,the Charity Commissioner out of abundant caution.,0
53,"Lastly, the counsel submitted that the respondent was discharging a public duty.",0
54,"In the present facts, it was a pre­ condition to pay the respondent before obtaining an examination pass, although he was never formally assigned this task or role.",0
55,The counsel therefore concluded that there need not be a requirement of positive command under the law to discharge his public duty.,0
56,"In fact, there may not be any formal requirement of providing remuneration or payment in lieu of the service 14\.",2
57,rendered.,0
58,"On the contrary, the counsel on behalf of the respondent submitted that it is a settled principle of law that a criminal statute has to be construed strictly.",1
59,"In cases where two interpretations are possible, the Courts must lean towards the construction which exempts the subject from penalty rather than 15\.",0
60,the one which imposes the same.,0
61,"The counsel further vehemently argued that the respondent, being a trustee, cannot be termed as a Public Servant.",0
62,There is no allegation in the charge sheet that the respondent was holding any position or post in the institution which was Deemed to be University or that he was engaged by the institution for rendering 6 7 any service.,2
63,"In light of the above fact, the High Court was correct in discharging the respondent as he does not qualify within the 16\.",0
64,ambit of Section 2 (c)(xi) of the PC Act.,3
65,"Moreover, the counsel argued that the High Court has correctly held that the relevant provision as laid down under Section 2 (c) (xi) is inapplicable in the present case as the said Institution was a “deemed to be university�.",8
66,"Finally, the counsel argued that no valid or proper sanction was obtained for prosecuting the respondent.",0
67,"The sanction obtained from the Charity Commissioner is not valid as he cannot be considered as a Competent Authority, since he does not have the power to remove 17\.",1
68,or appoint a Trustee.,0
69,"Having heard the learned counsel for the parties, the questions to be answered herein are­ i.",2
70,Whether the respondent­trustee is a ‘public servant’ covered under Section 2(c) of the PC Act?,3
71,ii.,0
72,Whether the accused­respondent can be discharged under Section 227 of CrPC?,3
73,18\.,0
74,"The first question before us, that is, whether the respondent­who is allegedly a trustee in the Sumandeep Charitable Trust which established and sponsors the said University (‘Deemed to be University’) is a ‘public servant’ covered under Section 2(c) of the PC Act, can be broken up into two parts: first, whether the 7 8 ‘Deemed University’ is covered under the provisions of the Prevention of Corruption Act, 1988, and secondly, whether the ‘respondent­trustee’ can be termed as ‘public servant’ under 19\.",6
75,Section 2(c)(xi) of the PC Act?,2
76,"Before we proceed further, we need to observe the relevant provisions under the PC Act: 2(c.).",1
77,"""public servant"" means­ … (xi) any person who is a Vice­Chancellor or member of any governing body, professor, reader, lecturer or any other teacher or employee, by whatever designation called, of any University and any person whose services have been availed of by a University or any other public authority in connection with holding or conducting examinations; 20\.",0
78,"Simply speaking, any person, who is a Vice­Chancellor, any member of any governing body, professor, reader, lecturer, any other teacher or employee, by whatever designation called, of any University, is said to be a public servant.",0
79,"Further, the definition inter alia, covers any person whose services have been availed of by a University, or any other public authority in connection with holding or conducting examinations.",0
80,8 9 21\.,0
81,"However, the interpretative necessity arises in this case due to the fact that the ambit of the term ‘University’, as occurring under Section 2(c)(xi) of the PC Act, has not been clearly defined and the question arises as to whether the same covers ‘deemed to be University’ as well.",7
82,"In this regard, we need to observe certain 22\.",0
83,"ground rules on interpretation, concerning the PC Act.",1
84,There is no gainsaying that nations are built upon trust.,0
85,It is inevitable that in a democracy one needs to rely on those with power and influence and to trust them of being transparent and fair.,0
86,"There is no doubt that any action which is driven by the self­ interest of these powerful individuals, rather than the public interest, destroys that trust.",0
87,"Where this becomes the norm, democracy, the economy and the rule of law, all take a beating, ultimately putting the whole nation at risk.",1
88,"Corrupt societies often spring from the examples set at the highest levels of government, but small­scale corruption can be equally insidious.",0
89,"In this regard, the PC Act was formulated to bring about transparency and honesty in public life, as indicated by its objects and reasons.",1
90,We need to keep the aforesaid legislative intention in mind while interpreting the provisions of the PC Act.,2
91,9 10 23\.,0
92,"Learned senior counsel for the appellant­State, vehemently contended that the PC Act, being a welfare legislation, cannot be narrowly interpreted, and rather, that a broad interpretation needs to be provided for the same [refer State of Madhya Pradesh v. M. V. Narasimhan, (1975) 2 SCC 377; M. Narayanan Nambiar v. State of Kerala, (1963) Supp.",4
93,(2) SCR 24\.,0
94,724].,0
95,"The golden rule of interpretation for any penal legislation is to interpret the same strictly, unless any constitutional considerations are involved, and in cases of ambiguity, the benefit of the same should enure in favour of the accused.",0
96,"Having said so, we need to clarify that strict interpretation does not necessarily mean literal interpretation in all cases, rather the interpretation should have regards to the genuine import of the words, taken in their usual sense [refer Commissioner of Customs (Import), Mumbai v. Dilip Kumar & Company, (2018) 25\.",3
97,9 SCC 1].,0
98,"However, we are concerned herein with interpreting the provisions of the PC Act.",2
99,There is no dispute that corruption in India is pervasive.,0
100,"Its impact on the nation is more pronounced, due to the fact that India is still a developing economy.",1
101,"Presently, 10 11 it can be stated that corruption in India has become an issue which affects all walks of life.",2
102,"In this context, we must state that although anti­corruption laws are fairly stringent in India, the percolation and enforcement of the same are sometimes criticized as being ineffective.",1
103,"Due to this, the constitutional aspirations of economic and social justice are sacrificed on a daily basis.",1
104,It is in the above context that we need to resolve the issues concerned 26\.,0
105,herein.,0
106,"In Subramanian Swamy v. Manmohan Singh, (2012) 3 SCC 64, this Court observed: “68.",2
107,"Today, corruption in our country not only poses a grave danger to the concept of constitutional governance, it also threatens the very foundation of Indian democracy and the Rule of Law.",1
108,"The magnitude of corruption in our public life is incompatible with the concept of a socialist, secular democratic republic.",0
109,It cannot be disputed that where corruption begins all rights end.,0
110,"Corruption devalues human rights, chokes development and undermines justice, liberty, equality, fraternity which are the core values in our preambular vision.",0
111,"Therefore, the duty of the Court is that any anti­corruption law has to be interpreted and worked out in such a fashion as to strengthen the fight against corruption.",1
